ADRA1A	PRKAA1	directed	activation	AMPK signaling pathway
ADRA1A	PRKAA2	directed	activation	AMPK signaling pathway
ADRA1A	PRKAB1	directed	activation	AMPK signaling pathway
ADRA1A	PRKAB2	directed	activation	AMPK signaling pathway
ADRA1A	PRKAG1	directed	activation	AMPK signaling pathway
PRKAG2	CD36	directed	activation	AMPK signaling pathway
PRKAG3	CD36	directed	activation	AMPK signaling pathway
PRKAA1	CD36	directed	activation	AMPK signaling pathway
PRKAA2	CD36	directed	activation	AMPK signaling pathway
PRKAB1	CD36	directed	activation	AMPK signaling pathway
PRKAB2	CD36	directed	activation	AMPK signaling pathway
PRKAG1	CD36	directed	activation	AMPK signaling pathway
PRKAG2	SREBF1	directed	inhibition	AMPK signaling pathway
PRKAG3	SREBF1	directed	inhibition	AMPK signaling pathway
PRKAA1	SREBF1	directed	inhibition	AMPK signaling pathway
PRKAA2	SREBF1	directed	inhibition	AMPK signaling pathway
PRKAB1	SREBF1	directed	inhibition	AMPK signaling pathway
PRKAB2	SREBF1	directed	inhibition	AMPK signaling pathway
PRKAG1	SREBF1	directed	inhibition	AMPK signaling pathway
PRKAG2	CFTR	directed	inhibition	AMPK signaling pathway
PRKAG3	CFTR	directed	inhibition	AMPK signaling pathway
PRKAA1	CFTR	directed	inhibition	AMPK signaling pathway
PRKAA2	CFTR	directed	inhibition	AMPK signaling pathway
PRKAB1	CFTR	directed	inhibition	AMPK signaling pathway
PRKAB2	CFTR	directed	inhibition	AMPK signaling pathway
PRKAG1	CFTR	directed	inhibition	AMPK signaling pathway
